calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,Longyuan-SCADA,43,CNN-QR,48,5242,19.66115713792646,14.002288435243187,25.754294085966546,0.0,True
0.88,Longyuan-SCADA,43,Transformer-QR,12,5242,11.760920110889538,8.085812757953075,15.446192444321397,0.0,True
0.88,Longyuan-SCADA,43,Transformer-QR,24,5242,11.760920110889538,7.732592837549448,15.895762739423484,0.0,True
0.88,Longyuan-SCADA,43,Transformer-QR,48,5242,11.760920110889538,7.484919128787285,16.189427404001624,0.0,True
0.88,Longyuan-SCADA,43,SQR,12,5242,22.189583149996935,16.762959681445068,27.633738015299304,0.0,True
0.88,Longyuan-SCADA,43,SQR,24,5242,22.189583149996935,16.464679800167836,28.474089613146365,0.0,True
0.88,Longyuan-SCADA,43,SQR,48,5242,22.189583149996935,16.101032712713355,28.780611801347582,0.0,True
0.88,Longyuan-SCADA,43,LUBE-NN,12,5242,22.222502803766105,17.027469838552467,27.601797871460487,0.0,True
0.88,Longyuan-SCADA,43,LUBE-NN,24,5242,22.222502803766105,16.12799963380762,28.736424818442824,0.0,True
0.88,Longyuan-SCADA,43,LUBE-NN,48,5242,22.222502803766105,14.886242619728778,29.31522957949363,0.0,True
0.88,Longyuan-SCADA,43,RQR-MLP,12,5242,12.996934031312223,9.680267860970392,15.914137640266826,0.0,True
0.88,Longyuan-SCADA,43,RQR-MLP,24,5242,12.996934031312223,8.86571623366646,16.672421362553784,0.0,True
0.88,Longyuan-SCADA,43,RQR-MLP,48,5242,12.996934031312223,7.558312446558944,17.58739308451296,0.0,True
0.88,Longyuan-SCADA,43,KDE,12,5242,20.09353771013233,15.760137684888305,24.578403598277088,0.0,True
0.88,Longyuan-SCADA,43,KDE,24,5242,20.09353771013233,14.905844633882166,25.058460964068612,0.0,True
0.88,Longyuan-SCADA,43,KDE,48,5242,20.09353771013233,14.306448957702669,26.072479176312076,0.0,True
0.88,SDWPF-SCADA,43,MLP-QR,12,12704,46.55297545521926,36.59228433814997,56.57026813765916,0.0,True
0.88,SDWPF-SCADA,43,MLP-QR,24,12704,46.55297545521926,34.67118541749959,58.665070553300346,0.0,True
0.88,SDWPF-SCADA,43,MLP-QR,48,12704,46.55297545521926,31.831813794359455,61.58926719820468,0.0,True
0.88,SDWPF-SCADA,43,LSTM-QR,12,12704,21.9112615441195,12.712101000232119,30.944109283586585,0.0,True
0.88,SDWPF-SCADA,43,LSTM-QR,24,12704,21.9112615441195,10.767771701878806,32.728188450270395,0.0,True
0.88,SDWPF-SCADA,43,LSTM-QR,48,12704,21.9112615441195,7.31942840394205,36.087846131408845,0.002,True
0.88,SDWPF-SCADA,43,GRU-QR,12,12704,17.701267332514227,8.147703013792446,27.224881741472093,0.0,True
0.88,SDWPF-SCADA,43,GRU-QR,24,12704,17.701267332514227,6.045024112339885,28.865890809090367,0.004,True
0.88,SDWPF-SCADA,43,GRU-QR,48,12704,17.701267332514227,4.13724039216486,31.24540667945251,0.011,True
0.88,SDWPF-SCADA,43,CNN-QR,12,12704,153.00145548236762,140.48819578375563,165.99858763425115,0.0,True
0.88,SDWPF-SCADA,43,CNN-QR,24,12704,153.00145548236762,135.5924310913014,169.2783483318778,0.0,True
0.88,SDWPF-SCADA,43,CNN-QR,48,12704,153.00145548236762,132.07921517964274,173.91585404461514,0.0,True
0.88,SDWPF-SCADA,43,Transformer-QR,12,12704,171.42068767067167,151.44051236427703,193.3644565668154,0.0,True
0.88,SDWPF-SCADA,43,Transformer-QR,24,12704,171.42068767067167,146.22760779737527,196.48073899730923,0.0,True
0.88,SDWPF-SCADA,43,Transformer-QR,48,12704,171.42068767067167,137.01508371343542,205.81501448124422,0.0,True
0.88,SDWPF-SCADA,43,SQR,12,12704,100.72096014022827,90.32888482833089,111.28392462802475,0.0,True
0.88,SDWPF-SCADA,43,SQR,24,12704,100.72096014022827,87.8242389093118,113.76781885897182,0.0,True
0.88,SDWPF-SCADA,43,SQR,48,12704,100.72096014022827,83.89733148473937,116.24383994286846,0.0,True
0.88,SDWPF-SCADA,43,LUBE-NN,12,12704,134.12701601585752,120.75114103462595,148.12976304469842,0.0,True
0.88,SDWPF-SCADA,43,LUBE-NN,24,12704,134.12701601585752,115.53795035005517,152.5951319772891,0.0,True
