calibration_target,setting,public_dataset,seed,method,rank,PICP,PINAW,Winkler,RMSE,MAE,R2,params,best_lambda,posthoc_calibration,baseline_common_calibration,calibration_q_scaled,calib_val_picp_before,calib_val_picp_after,time_s,stage1_cache_time_s,stage2_time_s,dpr_cache_status
0.88,common_validation_conformal_088,WPF-SCADA,42,KDE,8,0.8402451481103167,0.23034557700157166,686.6956787109375,182.75369262695312,113.71244812011719,0.8742949962615967,0,,,conformal,0.0684099793434143,0.8008171603677222,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,Proposed model,1,0.7468523464326593,0.24014055728912354,80.59534454345703,24.28685188293457,16.75912094116211,0.771898627281189,4373,0.45,conformal,,0.0003956705331802368,0.7998093422306959,0.8007626310772163,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,MLP-QR,3,0.7491415490270888,0.19236643612384796,87.52243041992188,24.31342315673828,15.523334503173828,0.771399199962616,1829,,,conformal,0.07539807260036469,0.7283126787416587,0.8007626310772163,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,LSTM-QR,4,0.6625333842045021,0.1536254584789276,91.59981536865234,24.41715431213379,15.341861724853516,0.769444465637207,9093,,,conformal,0.0,0.8102955195424214,0.8102955195424214,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,GRU-QR,6,0.6690194582220527,0.1562657207250595,94.27265930175781,24.430452346801758,15.35573959350586,0.7691932320594788,6981,,,conformal,0.003612309694290161,0.7988560533841754,0.8007626310772163,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,CNN-QR,8,0.7340709652804274,0.19523675739765167,96.45264434814453,24.631921768188477,15.554181098937988,0.765370786190033,3525,,,conformal,0.0,0.8083889418493804,0.8083889418493804,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,Transformer-QR,2,0.7258679893170545,0.2113642394542694,86.31968688964844,25.194305419921875,15.887709617614746,0.7545346021652222,17733,,,conformal,0.037228554487228394,0.7559580552907531,0.8007626310772163,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,SQR,10,0.675123998473865,0.15339039266109467,100.0593490600586,26.73143196105957,17.034332275390625,0.7236688137054443,1729,,,conformal,0.1066393107175827,0.665395614871306,0.8007626310772163,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,LUBE-NN,9,0.7258679893170545,0.18565016984939575,97.37798309326172,24.319990158081055,15.301006317138672,0.7712756991386414,1829,,,conformal,0.3218051791191101,0.00667302192564347,0.8007626310772163,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,RQR-MLP,5,0.9303700877527661,0.40282854437828064,93.38450622558594,25.857723236083984,17.202842712402344,0.7414371967315674,1829,,,conformal,0.0,0.9475691134413727,0.9475691134413727,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.8,common_validation_conformal_080,Longyuan-SCADA,42,KDE,7,0.7531476535673407,0.21440955996513367,95.86732482910156,24.402912139892578,15.2567720413208,0.7697133421897888,0,,,conformal,0.0,0.8198284080076264,0.8198284080076264,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.84,common_validation_conformal_084,Longyuan-SCADA,42,Proposed model,1,0.7760396795116368,0.25127333402633667,80.18146514892578,24.28685188293457,16.75912094116211,0.771898627281189,4373,0.45,conformal,,0.019768834114074707,0.7998093422306959,0.8408007626310772,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.84,common_validation_conformal_084,Longyuan-SCADA,42,MLP-QR,3,0.7909194963754292,0.22428667545318604,86.57793426513672,24.31342315673828,15.523334503173828,0.771399199962616,1829,,,conformal,0.13094526529312134,0.7283126787416587,0.8408007626310772,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.84,common_validation_conformal_084,Longyuan-SCADA,42,LSTM-QR,4,0.7233880198397559,0.18253803253173828,88.54248809814453,24.41715431213379,15.341861724853516,0.769444465637207,9093,,,conformal,0.05031326413154602,0.8102955195424214,0.8408007626310772,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.84,common_validation_conformal_084,Longyuan-SCADA,42,GRU-QR,5,0.7249141549027089,0.18756720423698425,91.1334457397461,24.430452346801758,15.35573959350586,0.7691932320594788,6981,,,conformal,0.058082759380340576,0.7988560533841754,0.8408007626310772,851.8960454463959,0.007487773895263672,851.8871998786926,hit
0.84,common_validation_conformal_084,Longyuan-SCADA,42,CNN-QR,8,0.7665013353681801,0.22477345168590546,94.98553466796875,24.631921768188477,15.554181098937988,0.765370786190033,3525,,,conformal,0.051399439573287964,0.8083889418493804,0.8408007626310772,851.8960454463959,0.007487773895263672,851.8871998786926,hit
