calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,SDWPF-SCADA,43,LSTM-QR,24,12704,21.91126185052313,10.426468564452504,33.44272994009966,0.0,True
0.88,SDWPF-SCADA,43,LSTM-QR,48,12704,21.91126185052313,7.298324112552985,35.799870630150664,0.004,True
0.88,SDWPF-SCADA,43,LUBE-NN,12,12704,134.12701622363946,120.42646025442113,147.6308632320662,0.0,True
0.88,SDWPF-SCADA,43,LUBE-NN,24,12704,134.12701622363946,117.45884464785837,151.6332296035541,0.0,True
0.88,SDWPF-SCADA,43,LUBE-NN,48,12704,134.12701622363946,112.34495821305208,155.4452325563219,0.0,True
0.88,SDWPF-SCADA,43,MLP-QR,12,12704,46.55297583197048,36.307082627858954,56.325745851212005,0.0,True
0.88,SDWPF-SCADA,43,MLP-QR,24,12704,46.55297583197048,33.98101225772616,58.695132185462825,0.0,True
0.88,SDWPF-SCADA,43,MLP-QR,48,12704,46.55297583197048,30.99679349459279,61.46937551885651,0.0,True
0.88,SDWPF-SCADA,43,RQR-MLP,12,12704,170.764131203313,161.1013569527585,180.1088347593578,0.0,True
0.88,SDWPF-SCADA,43,RQR-MLP,24,12704,170.764131203313,158.1620581717622,183.0931301765169,0.0,True
0.88,SDWPF-SCADA,43,RQR-MLP,48,12704,170.764131203313,154.83972691114712,186.38010930760328,0.0,True
0.88,SDWPF-SCADA,43,SQR,12,12704,100.72096055083244,90.50805256470653,111.17910362615882,0.0,True
0.88,SDWPF-SCADA,43,SQR,24,12704,100.72096055083244,88.21715265160816,112.78918181975891,0.0,True
0.88,SDWPF-SCADA,43,SQR,48,12704,100.72096055083244,82.99139505233175,115.84934709767256,0.0,True
0.88,SDWPF-SCADA,43,Transformer-QR,12,12704,171.42068969953561,151.12314726531267,192.51810077501173,0.0,True
0.88,SDWPF-SCADA,43,Transformer-QR,24,12704,171.42068969953561,144.9812873349358,197.49824531613774,0.0,True
0.88,SDWPF-SCADA,43,Transformer-QR,48,12704,171.42068969953561,138.1161817412862,206.65167448758322,0.0,True
0.88,SDWPF-SCADA,44,CNN-QR,12,12704,103.18443236899537,91.5484344727021,115.55071658068485,0.0,True
