public_dataset,seed,method,calibration_target,calibration_q_scaled,validation_picp_before,validation_picp_after,test_picp,test_pinaw,test_winkler
Longyuan-SCADA,42,GRU-QR,0.88,0.13872990012168884,0.7988560533841754,0.880838894184938,0.7897748950782144,0.23391114175319672,89.19020080566406
Longyuan-SCADA,42,CNN-QR,0.88,0.16480982303619385,0.8083889418493804,0.880838894184938,0.8243037008775277,0.2899447977542877,94.71156311035156
Longyuan-SCADA,42,Transformer-QR,0.88,0.16649648547172546,0.7559580552907531,0.880838894184938,0.8384204502098436,0.2856481671333313,85.85469818115234
Longyuan-SCADA,42,SQR,0.88,0.2394203096628189,0.665395614871306,0.880838894184938,0.7745135444486837,0.22969309985637665,94.73351287841797
Longyuan-SCADA,42,LUBE-NN,0.88,0.5121423006057739,0.00667302192564347,0.880838894184938,0.8241129339946586,0.2950275242328644,94.62906646728516
Longyuan-SCADA,42,RQR-MLP,0.88,0.0,0.9475691134413727,0.9475691134413727,0.9303700877527661,0.40282854437828064,93.38450622558594
Longyuan-SCADA,42,KDE,0.88,0.13432911038398743,0.8198284080076264,0.880838894184938,0.8229683326974437,0.29160186648368835,94.96394348144531
SDWPF-SCADA,42,Proposed model,0.88,0.05722254514694214,0.7804014167650531,0.880362062180244,0.9078243073047859,0.1878570318222046,348.1457824707031
SDWPF-SCADA,42,MLP-QR,0.88,0.09564942121505737,0.8020464384100747,0.880362062180244,0.8822418136020151,0.20860497653484344,411.00433349609375
SDWPF-SCADA,42,LSTM-QR,0.88,0.07807862758636475,0.8229043683589138,0.880362062180244,0.8695686397984886,0.1654600203037262,346.197998046875
SDWPF-SCADA,42,GRU-QR,0.88,0.08868861198425293,0.811491538764266,0.880362062180244,0.8839735516372796,0.17326511442661285,351.771728515625
SDWPF-SCADA,42,CNN-QR,0.88,0.1855975240468979,0.7461629279811098,0.880362062180244,0.9140428211586902,0.25523850321769714,456.84375
SDWPF-SCADA,42,Transformer-QR,0.88,0.0565488338470459,0.8358913813459268,0.880362062180244,0.8661051637279596,0.18177159130573273,394.7894287109375
SDWPF-SCADA,42,SQR,0.88,0.12263011932373047,0.760724124360488,0.880362062180244,0.8962531486146096,0.20985686779022217,405.2232666015625
SDWPF-SCADA,42,LUBE-NN,0.88,0.48026397824287415,0.0007870916961826052,0.880362062180244,0.9285264483627204,0.2594316601753235,471.58038330078125
SDWPF-SCADA,42,RQR-MLP,0.88,0.0,0.9803227075954348,0.9803227075954348,0.96205919395466,0.2942158281803131,472.7408752441406
SDWPF-SCADA,42,KDE,0.88,0.07311946153640747,0.8386462022825659,0.880362062180244,0.8968828715365239,0.25407445430755615,464.9046630859375
